GB	Caste
GB40001	NA
GB40002	NA
GB40005	NA
GB40006	NA
GB40007	NA
GB40008	NA
GB40010	W
GB40011	NA
GB40012	NA
GB40013	NA
GB40014	NA
GB40015	NA
GB40016	NA
GB40017	NA
GB40018	NA
GB40019	NA
GB40020	NDEG
GB40021	NDEG
GB40022	NA
GB40023	NA
GB40024	NA
GB40025	NA
GB40026	NA
GB40027	NA
GB40028	NA
GB40029	NA
GB40030	NA
GB40032	NA
GB40033	NA
GB40034	NA
GB40047	NA
GB40053	NA
GB40054	NA
GB40056	NA
GB40057	NDEG
GB40060	NA
GB40061	NA
GB40063	NA
GB40064	NA
GB40065	NA
GB40066	NA
GB40067	NA
GB40069	NA
GB40070	NA
GB40071	NA
GB40072	NDEG
GB40073	NA
GB40074	NA
GB40075	W
GB40076	NA
GB40077	NDEG
GB40078	NA
GB40079	NA
GB40080	NA
GB40081	NA
GB40082	NA
GB40083	NA
GB40084	NA
GB40085	NA
GB40086	NDEG
GB40087	NA
GB40088	NA
GB40089	NA
GB40091	NA
GB40092	NA
GB40093	NA
GB40094	NA
GB40095	NA
GB40096	NA
GB40098	NA
GB40100	NA
GB40101	NA
GB40102	NA
GB40103	NA
GB40104	NA
GB40105	NA
GB40106	NA
GB40107	NA
GB40108	NA
GB40109	NDEG
GB40110	NA
GB40111	NA
GB40112	NA
GB40113	NDEG
GB40114	NA
GB40115	NA
GB40116	NA
GB40117	NA
GB40118	NDEG
GB40119	NDEG
GB40120	NA
GB40121	NA
GB40122	NA
GB40123	NA
GB40124	NA
GB40125	NA
GB40126	NA
GB40127	NA
GB40128	NA
GB40129	NA
GB40130	NA
GB40131	NA
GB40132	NA
GB40133	NA
GB40134	NDEG
GB40135	NA
GB40136	NDEG
GB40137	NDEG
GB40138	NA
GB40139	NA
GB40140	NA
GB40141	Q
GB40142	NA
GB40143	NA
GB40145	NA
GB40146	NA
GB40147	NA
GB40148	NA
GB40150	NA
GB40151	NDEG
GB40153	NA
GB40154	NA
GB40155	NA
GB40156	NA
GB40157	NDEG
GB40158	NA
GB40159	NA
GB40162	NA
GB40163	NA
GB40164	NA
GB40165	NA
GB40166	NA
GB40167	NA
GB40168	NA
GB40169	NA
GB40170	NA
GB40182	NA
GB40183	NA
GB40184	NA
GB40185	NA
GB40186	NA
GB40187	NA
GB40188	NA
