XP	gamma	FW	QG	FQ	WG	FoldChange.FW	FoldChange.QG	FoldChange.FQ	FoldChange.WG
XP_003487369.1	4.805357376	0.589288895	0.877036494	0.804751641	0.693946633	1.01688915	-1.005048338	1.00902868	-1.0128778
XP_003487369.1	4.805357376	0.671567778	0.596463969	0.869370437	0.787263531	1.01688915	-1.005048338	1.00902868	-1.0128778
XP_012237147.1	4.519259564	0.001215492	0.545164048	0.105174229	5.88E-05	1.204492042	1.037486295	-1.100450837	-1.277592083
XP_012237147.1	4.519259564	0.101276569	0.034878913	0.02682532	0.084193532	1.204492042	1.037486295	-1.100450837	-1.277592083
XP_012237147.1	4.519259564	0.208731303	0.018729176	0.045064746	0.355548736	1.204492042	1.037486295	-1.100450837	-1.277592083
XP_012237147.1	4.519259564	0.402907319	0.376872262	0.212963426	0.224996746	1.204492042	1.037486295	-1.100450837	-1.277592083
XP_012237147.1	4.519259564	0.50035511	0.023380755	0.689456143	0.000968542	1.204492042	1.037486295	-1.100450837	-1.277592083
XP_003487368.1	4.100849724	0.033716298	6.05E-16	5.58E-07	0.003962936	1.115185697	1.713838157	-1.316608647	1.167255461
XP_003487368.1	4.100849724	0.000320747	3.18E-28	2.16E-11	2.40E-11	1.115185697	1.713838157	-1.316608647	1.167255461
XP_003487368.1	4.100849724	0.004043656	1.66E-20	1.84E-08	4.59E-05	1.115185697	1.713838157	-1.316608647	1.167255461
XP_003491890.1	4.041181479	0.111947189	0.004380504	0.459843483	0.045779833	-1.14684542	-1.274877487	-1.074406124	-1.194351179
XP_003491890.1	4.041181479	0.458833303	0.000387315	0.839493105	0.003407293	-1.14684542	-1.274877487	-1.074406124	-1.194351179
XP_003491890.1	4.041181479	0.013502487	5.42E-06	0.723676485	0.009115762	-1.14684542	-1.274877487	-1.074406124	-1.194351179
XP_003491890.1	4.041181479	0.078807655	0.46811248	0.788468227	0.206707177	-1.14684542	-1.274877487	-1.074406124	-1.194351179
XP_003494447.1	4.013021171	0.000112026	4.19E-07	0.000239335	0.020836807	1.284959566	1.401743924	-1.268153052	-1.162498632
XP_003489294.1	3.87601187	0.040812139	4.85E-11	0.000408436	1.26E-07	-1.184570244	1.879480989	-1.351785881	1.646989575
XP_003489294.1	3.87601187	0.073474817	0.000284058	0.003947768	0.014727027	-1.184570244	1.879480989	-1.351785881	1.646989575
XP_003489294.1	3.87601187	0.203702631	6.66E-05	0.00402785	0.018497592	-1.184570244	1.879480989	-1.351785881	1.646989575
XP_003493763.1	3.868458411	0.019285814	0.577145109	0.831272479	0.002140939	-1.228219232	1.054265709	1.024783871	1.326961296
XP_012245736.1	3.86317711	0.008970897	1.93E-10	0.685443522	2.96E-06	-1.161850412	-1.51805688	-1.028725563	-1.344117885
XP_003489957.1	3.586384736	0.030848066	1.54E-15	0.000141734	0.000110349	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003489957.1	3.586384736	0.100197076	2.24E-09	0.031524726	0.006688642	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003489957.1	3.586384736	0.411639504	0.129934429	0.617437364	0.960118382	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003489957.1	3.586384736	0.94120424	7.35E-07	0.227385767	0.000264847	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003489957.1	3.586384736	0.060488135	0.396219643	0.292359531	0.901746568	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003489957.1	3.586384736	0.787276926	2.09E-06	0.018077652	0.00561882	1.089422396	1.501461362	-1.169607458	1.178359297
XP_003488795.1	3.51252144	0.014242678	0.000104975	0.016015351	0.385307095	-1.154022237	-1.260535231	1.15441817	1.056871879
XP_012246791.1	3.511174289	0.453336518	0.532014803	0.042278801	0.000749674	1.040103642	-1.033352116	-1.10769808	-1.190546474
XP_012246791.1	3.511174289	0.802609376	7.74E-05	0.663795179	8.76E-06	1.040103642	-1.033352116	-1.10769808	-1.190546474
XP_012246791.1	3.511174289	0.890977585	0.000661726	0.420526227	3.08E-05	1.040103642	-1.033352116	-1.10769808	-1.190546474
XP_012246791.1	3.511174289	0.463957271	6.69E-05	0.426176918	8.94E-05	1.040103642	-1.033352116	-1.10769808	-1.190546474
XP_012246791.1	3.511174289	0.134290097	5.42E-06	0.796329069	0.000740761	1.040103642	-1.033352116	-1.10769808	-1.190546474
XP_003490441.1	3.48692927	0.729298813	0.024197423	0.012928034	0.54234795	1.021551229	1.129705236	-1.147427359	-1.037576698
XP_003490441.1	3.48692927	0.579737769	0.009479967	0.035088052	0.883698961	1.021551229	1.129705236	-1.147427359	-1.037576698
XP_003490441.1	3.48692927	0.820702113	0.022340345	0.998616807	0.053430255	1.021551229	1.129705236	-1.147427359	-1.037576698
XP_003490441.1	3.48692927	0.691146355	0.000436671	0.85943161	7.84E-05	1.021551229	1.129705236	-1.147427359	-1.037576698
XP_003491321.1	3.356543411	0.541424971	1.84E-06	0.148232451	1.73E-09	-1.040812316	1.354428846	1.096253827	1.545395843
XP_012236925.1	3.321483832	0.035894521	0.003070788	0.594810451	0.84267091	-1.14613093	-1.212456255	1.041845267	-1.015380042
XP_003493717.1	3.319030855	0.803227154	0.001126514	0.586517275	0.024432866	1.028974437	1.382932214	-1.065836497	1.260972804
XP_003493717.1	3.319030855	0.552150865	0.00078567	0.832467603	0.018251248	1.028974437	1.382932214	-1.065836497	1.260972804
XP_003493717.1	3.319030855	0.782056166	0.000381414	0.599355888	0.010963998	1.028974437	1.382932214	-1.065836497	1.260972804
XP_003493717.1	3.319030855	0.610808665	0.000277554	0.948520793	0.003709702	1.028974437	1.382932214	-1.065836497	1.260972804
XP_003493717.1	3.319030855	0.355580782	0.002847418	0.964112328	0.045681603	1.028974437	1.382932214	-1.065836497	1.260972804
XP_003489201.1	3.28068571	0.249200512	0.013696111	0.237426276	7.15E-06	1.077846462	-1.167692378	-1.083326644	-1.363467437
XP_003492468.1	3.268250302	0.039442584	0.124298149	0.904676252	0.547591859	1.068044679	1.050799066	-1.005198616	-1.021695838
XP_003485847.2	3.264620664	0.003327213	0.874500906	0.395082203	0.082061941	-1.116595408	-1.006794261	-1.036168233	1.070347584
XP_003486528.1	3.230092013	0.020559583	0.010165028	0.028737386	0.057247235	1.158553106	1.177066988	-1.15273885	-1.134607621
XP_003486528.1	3.230092013	0.325556077	0.819220287	0.011909828	0.000286656	1.158553106	1.177066988	-1.15273885	-1.134607621
XP_003484632.1	3.227854258	0.032113486	0.010196292	0.029479657	0.085241276	1.178909708	1.217683906	-1.186509879	-1.148728342
XP_003484632.1	3.227854258	0.272870253	0.12331572	0.080128465	3.11E-05	1.178909708	1.217683906	-1.186509879	-1.148728342
XP_003484632.1	3.227854258	0.00961831	0.006904884	0.00622131	0.00987174	1.178909708	1.217683906	-1.186509879	-1.148728342
XP_003484632.1	3.227854258	0.142891918	0.617700446	0.060448811	0.938160899	1.178909708	1.217683906	-1.186509879	-1.148728342
XP_003484632.1	3.227854258	0.048425712	0.033768628	0.022852571	0.036371043	1.178909708	1.217683906	-1.186509879	-1.148728342
XP_012242160.1	3.172652939	0.001562988	4.15E-05	0.024841359	0.231505001	-1.175591812	-1.23747777	1.122857518	1.066703691
XP_012242160.1	3.172652939	0.057976145	9.20E-05	0.000149764	0.079304791	-1.175591812	-1.23747777	1.122857518	1.066703691
XP_012242160.1	3.172652939	0.002004878	9.79E-06	0.005782976	0.206095997	-1.175591812	-1.23747777	1.122857518	1.066703691
XP_012241145.1	3.094448771	0.566002992	0.000120178	0.232773227	0.053468733	1.032894348	1.224754114	-1.068388261	1.109849009
XP_012241145.1	3.094448771	0.256614735	0.179722294	0.217629627	0.153871077	1.032894348	1.224754114	-1.068388261	1.109849009
XP_012241145.1	3.094448771	0.492325915	0.098349954	0.200775403	0.028158984	1.032894348	1.224754114	-1.068388261	1.109849009
XP_012236850.1	3.072723563	0.973546614	8.46E-05	0.118704107	0.024144814	1.001734374	1.1838452	-1.070862321	1.103592405
XP_012236850.1	3.072723563	0.296180374	0.000293247	0.688538487	0.044668338	1.001734374	1.1838452	-1.070862321	1.103592405
XP_012245520.1	3.031516407	0.881950135	0.001155468	0.600925988	0.017784425	-1.009673999	-1.194181098	1.034322194	-1.14349212
XP_012245520.1	3.031516407	0.214288749	0.000351236	0.068446005	0.003971217	-1.009673999	-1.194181098	1.034322194	-1.14349212
XP_012245520.1	3.031516407	0.179281453	0.000746289	0.980607609	1.07E-05	-1.009673999	-1.194181098	1.034322194	-1.14349212
XP_012245520.1	3.031516407	0.294584087	0.000297315	0.722076057	6.01E-05	-1.009673999	-1.194181098	1.034322194	-1.14349212
XP_012245520.1	3.031516407	0.090060307	3.61E-05	0.957163092	2.17E-07	-1.009673999	-1.194181098	1.034322194	-1.14349212
XP_003489753.1	3.019028179	0.011305	2.03E-05	0.328225258	0.004815788	1.129478245	1.235552272	1.053093843	1.151994292
XP_003489753.1	3.019028179	0.109087219	0.150952252	0.585259014	0.674939435	1.129478245	1.235552272	1.053093843	1.151994292
XP_012237124.1	2.995740388	0.002944389	0.982270888	0.686792887	0.000848852	-1.215591268	1.001744595	1.032595481	1.25740389
XP_012237124.1	2.995740388	0.002944389	0.982270888	0.686792887	0.000848852	-1.215591268	1.001744595	1.032595481	1.25740389
XP_012237124.1	2.995740388	0.002944389	0.982270888	0.686792887	0.000848852	-1.215591268	1.001744595	1.032595481	1.25740389
XP_003489775.1	2.981776242	0.064526022	6.08E-08	0.172366844	0.013314919	1.151823865	1.564350575	-1.11616119	1.216805309
XP_003489775.1	2.981776242	0.28507366	0.005345228	0.939240043	0.137859135	1.151823865	1.564350575	-1.11616119	1.216805309
XP_003489775.1	2.981776242	0.655766312	0.054368515	0.774940925	0.324219925	1.151823865	1.564350575	-1.11616119	1.216805309
XP_003489775.1	2.981776242	0.402376493	0.039368884	0.890640681	0.363310875	1.151823865	1.564350575	-1.11616119	1.216805309
XP_003489775.1	2.981776242	0.651643029	0.01110152	0.129503744	0.700781376	1.151823865	1.564350575	-1.11616119	1.216805309
XP_012237190.1	2.962928901	0.492437605	0.002814471	0.572710087	0.005175298	-1.034268891	-1.146355123	-1.030803083	-1.142513717
XP_012238310.1	2.943526106	0.271273754	0.000647326	0.585664221	0.115805479	-1.061681523	-1.198043188	1.034484289	-1.090823073
XP_012238310.1	2.943526106	0.271273754	0.000647326	0.585664221	0.115805479	-1.061681523	-1.198043188	1.034484289	-1.090823073
XP_012236281.1	2.940511848	0.533001512	2.23E-06	2.21E-05	0.911161365	-1.070867169	-1.656878813	1.568467012	1.013725214
XP_012236281.1	2.940511848	0.87759314	0.006931451	0.000118306	0.161025393	-1.070867169	-1.656878813	1.568467012	1.013725214
XP_012236281.1	2.940511848	0.579871413	1.67E-07	2.37E-05	0.082791099	-1.070867169	-1.656878813	1.568467012	1.013725214
XP_003494384.1	2.93665517	0.851006456	0.170084522	0.021774848	0.274797562	1.014569832	1.095327232	-1.165583148	-1.079645848
XP_003494384.1	2.93665517	0.851006456	0.170084522	0.021774848	0.274797562	1.014569832	1.095327232	-1.165583148	-1.079645848
XP_012238244.1	2.913431663	0.137443	0.657690602	0.224213421	0.001707784	1.098854595	-1.030883438	-1.084760287	-1.228806694
XP_012238244.1	2.913431663	0.014660368	0.01881304	0.555013338	0.475927339	1.098854595	-1.030883438	-1.084760287	-1.228806694
XP_012241863.1	2.89074033	0.343624268	0.163964974	0.817266138	0.00952403	-1.04362838	1.062709536	1.012961077	1.123448623
XP_012241863.1	2.89074033	0.998217269	0.914758387	0.459377303	0.374561065	-1.04362838	1.062709536	1.012961077	1.123448623
XP_012241863.1	2.89074033	0.508239423	0.008188549	0.530723782	0.010836482	-1.04362838	1.062709536	1.012961077	1.123448623
XP_003488593.1	2.882528401	0.17057165	4.35E-05	0.011354144	0.851917772	1.073075979	1.236219083	-1.139217822	1.01124922
XP_003488593.1	2.882528401	0.564257852	7.89E-07	0.033207154	0.019625239	1.073075979	1.236219083	-1.139217822	1.01124922
XP_003488593.1	2.882528401	0.887448001	1.26E-07	0.017156167	0.003077191	1.073075979	1.236219083	-1.139217822	1.01124922
XP_003488589.1	2.871799885	0.632908386	0.306413987	0.894798883	0.093065638	-1.01943089	1.039101921	1.006483525	1.066160546
XP_003488589.1	2.871799885	0.966361015	0.822846571	0.421599325	0.526659142	-1.01943089	1.039101921	1.006483525	1.066160546
XP_003488589.1	2.871799885	0.747709215	0.643870673	0.406616162	0.472377725	-1.01943089	1.039101921	1.006483525	1.066160546
XP_003488589.1	2.871799885	0.049862079	0.803063534	0.736830017	0.081533157	-1.01943089	1.039101921	1.006483525	1.066160546
XP_003488589.1	2.871799885	0.693284076	0.000237855	0.400526693	8.06E-05	-1.01943089	1.039101921	1.006483525	1.066160546
XP_012248243.1	2.856981321	0.071331724	1.12E-09	1.30E-06	0.926401528	1.053961253	1.219780663	-1.161105162	-1.003262217
XP_012248243.1	2.856981321	0.038183678	2.13E-09	1.45E-05	0.94579447	1.053961253	1.219780663	-1.161105162	-1.003262217
XP_012248243.1	2.856981321	0.029721978	7.63E-11	4.08E-09	0.285071004	1.053961253	1.219780663	-1.161105162	-1.003262217
XP_012244663.1	2.825617654	0.613935342	2.72E-06	0.275948168	7.22E-07	-1.015396313	-1.145002563	-1.033038766	-1.164896916
XP_012244663.1	2.825617654	0.109784915	0.001619364	0.130344745	3.67E-08	-1.015396313	-1.145002563	-1.033038766	-1.164896916
XP_012244663.1	2.825617654	0.001027049	0.002065	0.110015761	7.68E-11	-1.015396313	-1.145002563	-1.033038766	-1.164896916
XP_003490066.1	2.777521267	0.140259467	0.063618528	0.007441129	0.022917599	1.088107171	1.110497806	-1.166537125	-1.143016586
XP_003490066.1	2.777521267	0.049517861	0.011687999	0.453379543	1.57E-06	1.088107171	1.110497806	-1.166537125	-1.143016586
XP_003490066.1	2.777521267	0.540465492	0.429363202	0.996747869	0.159428475	1.088107171	1.110497806	-1.166537125	-1.143016586
XP_003490066.1	2.777521267	0.693908691	0.589585099	0.445138266	0.353545236	1.088107171	1.110497806	-1.166537125	-1.143016586
XP_003485012.1	2.73597867	0.879935812	0.001205113	0.869736072	0.001717128	-1.01195118	-1.239047776	-1.014408285	-1.242056292
XP_003485012.1	2.73597867	0.099621284	0.000110189	0.850223279	0.015021993	-1.01195118	-1.239047776	-1.014408285	-1.242056292
XP_012237466.1	2.723109479	0.846049479	0.015528048	0.674949579	0.002625612	-1.010946176	1.121817	1.024622223	1.162020586
XP_003487019.1	2.718852661	0.768343368	1.52E-06	0.457695643	2.48E-05	-1.015561591	1.259651208	-1.039231662	1.230960748
XP_003487019.1	2.718852661	0.295784866	6.80E-06	0.291929456	0.018622478	-1.015561591	1.259651208	-1.039231662	1.230960748
XP_003485421.1	2.717374411	0.343832568	0.580262023	0.189108816	0.088183039	1.04524325	1.027018094	-1.064274867	-1.083161172
XP_003485214.1	2.715111864	0.440010702	7.37E-08	0.562806926	1.09E-09	-1.055828886	1.469800696	1.045892217	1.623076236
XP_003485214.1	2.715111864	0.183620253	0.276101088	0.835052407	0.653385583	-1.055828886	1.469800696	1.045892217	1.623076236
XP_003485506.1	2.714319963	0.04056797	0.002889214	0.874954873	0.286684753	-1.098200221	-1.146170524	-1.009616959	-1.053717871
XP_003485506.1	2.714319963	0.7951592	0.02223765	0.692251287	0.018035118	-1.098200221	-1.146170524	-1.009616959	-1.053717871
XP_003485506.1	2.714319963	0.847510263	0.009949737	0.867693858	0.013748651	-1.098200221	-1.146170524	-1.009616959	-1.053717871
XP_003485506.1	2.714319963	0.669072907	4.79E-05	0.000765239	0.836807394	-1.098200221	-1.146170524	-1.009616959	-1.053717871
XP_012245725.1	2.713867609	0.706909067	0.044963607	0.638052952	0.075246726	-1.03609886	1.181860441	-1.048339877	1.168060361
XP_012245725.1	2.713867609	0.167750664	0.118666439	0.775846178	0.012018195	-1.03609886	1.181860441	-1.048339877	1.168060361
XP_012245725.1	2.713867609	0.613235468	2.30E-05	0.212080631	0.000660588	-1.03609886	1.181860441	-1.048339877	1.168060361
XP_012245717.1	2.707348489	0.049507033	0.397857724	0.025669817	0.001372861	-1.082335552	-1.03616244	1.095969966	1.144808201
XP_003490142.1	2.682146112	0.471889416	0.149862402	0.919051079	0.452781325	1.059091792	1.114671312	1.010474291	1.063502438
XP_012240516.1	2.680665106	0.007642405	0.368351162	0.498413755	0.015678376	-1.064013977	-1.021965529	1.018266632	1.06016289
XP_012240288.1	2.674192191	0.149644595	0.938031672	0.674773187	0.071952422	1.215290451	1.012240788	-1.070383477	-1.285096227
XP_012240288.1	2.674192191	0.903531622	0.395976168	0.263938048	0.883464668	1.215290451	1.012240788	-1.070383477	-1.285096227
XP_012240288.1	2.674192191	0.649648351	0.796332554	0.6736945	0.513280401	1.215290451	1.012240788	-1.070383477	-1.285096227
XP_003488662.1	2.665780668	0.594897349	1.45E-09	0.15297447	1.52E-05	1.031385918	1.433412043	-1.083061531	1.283207002
XP_003488662.1	2.665780668	0.594897349	1.45E-09	0.15297447	1.52E-05	1.031385918	1.433412043	-1.083061531	1.283207002
XP_003488662.1	2.665780668	0.269913448	0.186157397	0.731297307	0.005236691	1.031385918	1.433412043	-1.083061531	1.283207002
XP_003488662.1	2.665780668	0.269913448	0.186157397	0.731297307	0.005236691	1.031385918	1.433412043	-1.083061531	1.283207002
