GeneID	Tsil	Trepl	Length
NP_001267052.1	244.0	872.0	1116
NP_001267051.1	364.666666667	1360.33333333	1725
XP_003484388.1	65.3333333333	267.666666667	333
XP_003484389.1	205.333333333	787.666666667	993
XP_003484390.1	382.0	1511.0	1893
XP_003484391.1	291.333333333	1082.66666667	1374
XP_003484392.2	242.0	883.0	1125
XP_003484397.1	317.333333333	1227.66666667	1545
XP_003484399.1	388.0	1475.0	1863
XP_003484402.2	460.0	2027.0	2487
XP_003484403.1	267.333333333	1010.66666667	1278
XP_003484404.1	96.3333333333	398.666666667	495
XP_003484405.1	206.333333333	828.666666667	1035
XP_003484407.1	297.666666667	1238.33333333	1536
XP_003484409.1	73.3333333333	310.666666667	384
XP_003484410.1	301.0	1151.0	1452
XP_003484411.1	707.333333333	2796.66666667	3504
XP_003484412.1	229.333333333	964.666666667	1194
XP_003484413.1	281.333333333	1350.66666667	1632
XP_003484416.1	451.0	1793.0	2244
XP_003484419.2	337.0	1406.0	1743
XP_003484421.1	462.666666667	1850.33333333	2316
XP_003484422.1	892.0	3371.0	4263
XP_003484423.2	352.333333333	1213.66666667	1566
XP_003484424.1	227.333333333	765.666666667	993
XP_003484425.1	159.0	606.0	765
XP_003484430.1	109.333333333	460.666666667	570
XP_003484431.1	39.3333333333	167.666666667	207
XP_003484433.1	176.333333333	750.666666667	927
XP_003484434.1	152.0	589.0	741
XP_003484436.1	216.666666667	923.333333333	1140
XP_003484445.1	228.666666667	815.333333333	1044
XP_003484447.2	215.333333333	804.666666667	1020
XP_003484449.1	355.333333333	1393.66666667	1749
XP_003484452.1	366.333333333	1475.66666667	1842
XP_003484453.1	1258.0	5021.0	6279
XP_003484455.1	592.333333333	2206.66666667	2799
XP_003484458.1	53.0	196.0	249
XP_003484460.1	330.0	1323.0	1653
XP_003484461.1	311.666666667	1125.33333333	1437
XP_003484462.1	279.666666667	1004.33333333	1284
XP_003484464.1	237.333333333	854.666666667	1092
XP_003484465.2	142.0	641.0	783
XP_003484466.1	85.0	392.0	477
XP_003484467.1	576.333333333	1976.66666667	2553
XP_003484468.1	236.666666667	1029.33333333	1266
XP_003484469.1	100.0	419.0	519
XP_003484478.1	59.3333333333	237.666666667	297
XP_003484482.1	242.666666667	933.333333333	1176
XP_003484488.1	341.0	1219.0	1560
XP_003484489.1	226.666666667	814.333333333	1041
XP_003484490.1	101.666666667	384.333333333	486
XP_003484491.1	192.0	759.0	951
XP_003484493.1	315.666666667	1271.33333333	1587
XP_003484495.1	220.0	797.0	1017
XP_003484496.2	404.333333333	1521.66666667	1926
XP_003484498.1	235.333333333	853.666666667	1089
XP_003484502.1	193.333333333	847.666666667	1041
XP_003484503.1	231.666666667	866.333333333	1098
XP_003484504.1	252.666666667	905.333333333	1158
XP_003484505.1	183.0	687.0	870
XP_003484507.1	424.666666667	1552.33333333	1977
XP_003484508.1	676.333333333	2731.66666667	3408
XP_003484514.2	349.333333333	1261.66666667	1611
XP_003484515.1	253.333333333	913.666666667	1167
XP_003484516.1	159.0	675.0	834
XP_003484520.1	257.0	1063.0	1320
XP_003484524.1	824.666666667	3252.33333333	4077
XP_003484525.1	429.333333333	1553.66666667	1983
XP_003484528.2	457.333333333	1810.66666667	2268
XP_003484530.1	231.666666667	857.333333333	1089
XP_003484531.1	409.0	1457.0	1866
XP_003484532.1	91.0	296.0	387
XP_003484533.1	186.0	738.0	924
XP_003484539.1	264.0	990.0	1254
XP_003484540.1	158.0	568.0	726
XP_003484546.1	701.0	2587.0	3288
XP_003484547.1	145.0	590.0	735
XP_003484548.1	225.0	807.0	1032
XP_003484549.1	409.0	1358.0	1767
XP_003484551.1	291.666666667	983.333333333	1275
XP_003484554.1	303.333333333	941.666666667	1245
XP_003484556.1	237.333333333	959.666666667	1197
XP_003484557.2	496.0	1949.0	2445
XP_003484562.1	207.333333333	761.666666667	969
XP_003484564.2	305.0	1264.0	1569
XP_003484570.2	236.333333333	975.666666667	1212
XP_003484574.1	255.333333333	974.666666667	1230
XP_003484576.1	252.0	978.0	1230
XP_003484577.1	244.0	974.0	1218
XP_003484578.1	245.666666667	966.333333333	1212
XP_003484581.1	303.0	1188.0	1491
