id	ortho	b.gamma	gamma
Bimp12625	GB40007	0.579396516	0.919616535
Bimp02157	GB55781	-0.208298002	0.092601929
Bimp00173	GB55650	0.632864005	1.382404724
Bimp08172	GB46705	1.090225609	0.301350086
Bimp08274	GB47452	-0.954868991	-0.710081606
Bimp02407	GB44091	-0.020810151	0.417388956
Bimp10379	GB52098	0.535142217	-0.668377914
Bimp03539	GB42147	2.738045169	1.355892102
Bimp13682	GB52252	-0.335707958	0.017580394
Bimp07367	GB46325	0.030628566	-0.481633106
Bimp02072	GB41850	0.783733886	-0.890690041
Bimp14022	GB42359	-0.07129013	1.089579845
Bimp13963	GB55375	0.873827058	0.110071745
Bimp05318	GB40498	0.985826107	0.201101663
Bimp03915	GB44262	2.301747955	2.324347666
Bimp14083	GB53340	0.405184813	0.454433529
Bimp06437	GB54468	0.76321321	0.236039925
Bimp03927	GB46253	0.902377445	-0.211832281
Bimp00339	GB49432	-0.539763993	0.913739758
Bimp08469	GB53320	1.596327265	4.765421988
Bimp12643	GB47938	0.712992816	0.185735445
Bimp00552	GB54130	1.743870142	0.944810898
Bimp11529	GB41634	1.887268474	0.898486309
Bimp11022	GB49952	0.433223227	2.635991973
Bimp08827	GB54884	0.568275659	-0.134182158
Bimp12963	GB42022	0.063053041	-0.576871452
Bimp01513	GB40933	0.785878499	-0.057505422
Bimp03044	GB49642	1.000934761	0.477747328
Bimp12926	GB42374	-0.425036471	1.003733655
Bimp13012	GB40993	0.993803909	0.552258324
Bimp12680	GB41988	-0.725132361	-0.791997773
Bimp02471	GB52997	1.336283375	0.554731505
Bimp08092	GB45972	0.766113073	0.967548636
Bimp07117	GB45073	0.928526512	0.777978802
Bimp04945	GB48355	0.033801264	0.114878811
Bimp03561	GB42489	0.940621677	-0.858074419
Bimp12369	GB41930	1.491224783	#N/A
Bimp06374	GB40808	0.37360916	-0.218510277
Bimp08248	GB47470	0.373161662	-0.122578481
Bimp08462	GB53315	0.718246381	-0.142459164
Bimp12284	GB41119	0.075685861	0.633343761
Bimp05488	GB47628	0.294991737	-0.565722596
Bimp00014	GB50923	-0.378003737	-0.152208406
Bimp05951	GB43459	0.275499808	0.538013803
Bimp06149	GB53778	0.232732592	-0.391576611
Bimp04404	GB53104	1.904261159	4.277980515
Bimp04095	GB43110	0.129489942	-0.041918878
Bimp09388	GB46795	0.258109568	-0.206310331
Bimp04624	GB46736	0.172215467	-0.877747932
Bimp01564	GB46583	1.342925471	1.153795208
Bimp13558	GB52613	0.518246258	-0.33696549
Bimp05705	GB52417	0.023462841	-0.336605224
Bimp11475	GB51619	0.174141903	0.968135487
Bimp01351	GB40766	0.394461958	-0.475384334
Bimp12252	GB45281	0.529218455	-0.932515875
Bimp10614	GB47688	0.117200974	0.438935178
Bimp06895	GB49149	0.683553536	0.712017777
Bimp02042	GB48530	1.188211258	-0.326506186
Bimp06002	GB48693	1.245352331	0.144665086
Bimp06795	GB49106	0.298799184	2.259976002
Bimp02324	GB46321	0.863875504	-0.305099355
Bimp12238	GB44905	-1.003507387	-0.979634728
Bimp00270	GB45823	0.369722886	-0.254865461
Bimp02074	GB41847	-0.819889278	-0.352067223
Bimp11623	GB55144	0.533163111	-0.104305015
Bimp03567	GB42495	0.87255771	-0.618490185
Bimp08385	GB52985	0.424351856	-0.292911036
Bimp07439	GB50295	0.678359075	0.824547068
Bimp11634	GB45812	-0.054939591	0.204228216
Bimp05658	GB43214	1.178535155	3.584945496
Bimp06914	GB49223	-0.271200612	-0.772267626
Bimp11177	GB40140	0.68449362	3.975933764
Bimp09515	GB49872	1.18454639	0.482627358
Bimp11819	GB49601	0.548872562	0.238338683
Bimp12817	GB41287	-0.388036057	-0.067068328
Bimp13943	GB55579	-0.208484359	0.327388632
Bimp13519	GB50482	0.487934376	1.168335092
Bimp14084	GB53341	1.94939517	1.386537948
Bimp08651	GB40348	0.295155733	-0.502225866
Bimp08406	GB44183	0.841024251	0.33385615
Bimp12142	GB41196	0.807500999	-0.746623312
Bimp09813	GB55538	2.301506686	0.178099237
Bimp07508	GB45717	0.553089671	1.530861942
Bimp04647	GB42035	0.444635966	-0.252201154
Bimp07639	GB49171	0.393545447	-0.564364994
Bimp10268	GB52759	0.91292399	0.394579476
Bimp00657	GB54030	1.045423767	-0.050507826
Bimp11969	GB41852	-0.096790924	-0.423443973
Bimp06264	GB48576	1.058734822	-0.061641484
Bimp06128	GB47879	0.371749015	0.561048946
Bimp01056	GB42804	0.101994995	-0.158543242
Bimp06347	GB42508	1.14019431	0.003441171
Bimp03308	GB47596	0.277775846	-0.610842757
Bimp10372	GB53959	-0.234560775	-0.219602454
Bimp12288	GB52590	1.334243565	1.697564351
